#number,time,diff_x,diff_y,pe1_stats1_total,diff_x_user_setpoint,diff_y_user_setpoint,pe1_image
119,1479177253.376677,-4.6000000000000005,19.44,20488410233.651474,-4.6,19.44,c6c127bf-0e29-428d-b408-42b3fe7356b4
120,1479177324.8059385,-4.6000000000000005,18.44,20488183137.04045,-4.6,18.44,6a3ee899-4315-4756-afd2-319699af8d9e
121,1479177387.846365,-5.6000000000000005,18.44,20488335959.816315,-5.6,18.44,dacb2c10-2741-4f6a-a786-3c1eca569773
122,1479177459.3477855,-5.6000000000000005,19.44,20488005858.850586,-5.6,19.44,2add64cc-44b8-4bd6-92a5-7c1a053d6ba3
123,1479177530.7393625,-5.6000000000000005,20.44,20488055613.569504,-5.6,20.44,ba3e4700-48cb-432a-b03f-2c9fa05908a2
124,1479177602.2119222,-5.6000000000000005,21.44,20488124867.696747,-5.6,21.44,19a105ca-b809-4ee5-ad0e-b3faaba90c81
125,1479177673.8302124,-5.6000000000000005,22.44,20488970857.68965,-5.6,22.44,7f07d875-df15-4e7f-97cf-a30a92e4169f
126,1479177745.2540648,-5.6000000000000005,23.44,20487607480.166885,-5.6,23.44,5415fab3-dee3-4036-8de7-a34473329e8b
127,1479177816.6318667,-5.6000000000000005,24.44,20486281394.920273,-5.6,24.44,18885fd7-4c06-42da-88f5-ac3b4812f870
128,1479177888.0032322,-5.6000000000000005,25.44,20486672687.845993,-5.6,25.44,9b51866c-eba4-4990-8b2c-5769431e4cd2
129,1479177951.0482104,-6.6000000000000005,25.44,20486872486.328262,-6.6,25.44,a3146e80-3c15-495f-8c38-0cf6567374c1
130,1479178022.3326032,-6.6000000000000005,24.44,20486450261.94661,-6.6,24.44,48aa6c12-8441-4802-bae5-bbbfa03e5f5e
131,1479178094.018396,-6.6000000000000005,23.44,20487294641.340103,-6.6,23.44,373e7e47-0bae-4193-8f06-47900d448d0b
132,1479178165.2950969,-6.6000000000000005,22.44,20487656709.852097,-6.6,22.44,dd32a303-54f8-4989-af19-c9c0cb312799
133,1479178236.6631358,-6.6000000000000005,21.44,20486641742.875214,-6.6,21.44,dce92840-596d-4057-8609-b8f45b3c5f2f
134,1479178308.0408895,-6.6000000000000005,20.44,20485888969.175354,-6.6,20.44,976b7082-f957-433a-aeed-6694c2add261
135,1479178379.4360194,-6.6000000000000005,19.44,20486544164.707535,-6.6,19.44,10652248-37f2-4412-bdde-9c2a750da310
136,1479178450.802713,-6.6000000000000005,18.44,20485285643.61711,-6.6,18.44,f50e272c-b876-4f9f-90cf-a938e0875b01
